order_id,product,price,quantity,total,region,timestamp
ORD00076,Mouse,394.04,3,1182.12,North America,2025-02-22 20:00:33
ORD00078,Headphones,182.15,4,728.6,North America,2025-01-04 20:00:33
ORD00097,Tablet,1171.3,2,2342.6,North America,2025-04-26 20:00:33
ORD00117,Headphones,563.68,2,1127.36,South America,2025-04-06 20:00:33
ORD00177,Laptop,265.56,2,531.12,South America,2025-03-20 20:00:33
ORD00184,Monitor,767.28,4,3069.12,North America,2024-08-11 20:00:33
ORD00227,Headphones,548.78,5,2743.9,North America,2024-08-01 20:00:33
ORD00253,Keyboard,1355.25,5,6776.25,Africa,2024-08-07 20:00:33
ORD00295,Keyboard,913.45,4,3653.8,Africa,2025-02-24 20:00:33
ORD00326,Smartphone,814.22,3,2442.66,Asia,2024-12-19 20:00:33
ORD00335,Laptop,1110.75,4,4443.0,North America,2025-06-12 20:00:33
ORD00342,Keyboard,1216.07,5,6080.35,Asia,2024-08-19 20:00:33
ORD00403,Laptop,1343.63,5,6718.15,North America,2024-10-30 20:00:33
ORD00405,Headphones,1024.53,5,5122.65,North America,2025-05-23 20:00:33
ORD00468,Monitor,1283.03,4,5132.12,Africa,2025-02-10 20:00:33
ORD00500,Headphones,1354.77,5,6773.85,North America,2025-05-01 20:00:33
ORD00513,Monitor,500.81,5,2504.05,Asia,2024-09-24 20:00:33
ORD00537,Laptop,1053.42,1,1053.42,Africa,2024-10-14 20:00:33
ORD00579,Laptop,394.41,1,394.41,North America,2024-10-20 20:00:33
ORD00623,Smartphone,1072.1,4,4288.4,Asia,2024-09-21 20:00:33
ORD00640,Smartphone,228.79,4,915.16,South America,2024-07-25 20:00:33
ORD00714,Keyboard,175.25,5,876.25,Asia,2025-01-20 20:00:33
ORD00727,Smartphone,726.31,5,3631.55,Africa,2024-09-19 20:00:33
ORD00757,Monitor,265.46,3,796.38,Europe,2025-04-22 20:00:33
ORD00783,Keyboard,54.68,5,273.4,North America,2025-03-17 20:00:33
ORD00008,Laptop,997.64,3,2992.92,Europe,2025-01-07 20:00:33
ORD00154,Headphones,341.43,1,341.43,South America,2024-10-25 20:00:33
ORD00237,Laptop,369.13,1,369.13,Europe,2024-08-08 20:00:33
ORD00246,Mouse,675.42,3,2026.26,North America,2025-06-09 20:00:33
ORD00276,Mouse,819.42,1,819.42,South America,2024-12-15 20:00:33
ORD00293,Tablet,52.28,4,209.12,South America,2025-06-22 20:00:33
ORD00297,Tablet,995.89,5,4979.45,South America,2024-12-05 20:00:33
ORD00338,Headphones,1358.69,3,4076.07,Asia,2025-05-04 20:00:33
ORD00350,Mouse,586.71,5,2933.55,North America,2024-10-14 20:00:33
ORD00374,Monitor,1015.35,2,2030.7,Africa,2024-12-31 20:00:33
ORD00407,Tablet,667.63,3,2002.89,Asia,2024-08-02 20:00:33
ORD00424,Laptop,1469.24,3,4407.72,Europe,2025-06-02 20:00:33
ORD00437,Headphones,1120.59,1,1120.59,South America,2024-07-09 20:00:33
ORD00492,Laptop,411.43,1,411.43,North America,2025-05-31 20:00:33
ORD00525,Tablet,142.11,3,426.33,South America,2025-03-16 20:00:33
ORD00554,Mouse,212.7,3,638.1,Africa,2025-03-04 20:00:33
ORD00571,Monitor,1337.36,5,6686.8,Africa,2024-09-28 20:00:33
ORD00610,Laptop,1153.63,1,1153.63,Europe,2024-09-28 20:00:33
ORD00666,Mouse,1124.65,5,5623.25,North America,2025-03-24 20:00:33
ORD00728,Smartphone,894.31,5,4471.55,Europe,2025-01-19 20:00:33
ORD00736,Tablet,115.78,1,115.78,Africa,2025-04-21 20:00:33
ORD00801,Smartphone,593.13,1,593.13,South America,2025-07-01 20:00:33
ORD00832,Keyboard,468.55,4,1874.2,Europe,2025-06-10 20:00:33
ORD00881,Keyboard,1451.01,4,5804.04,South America,2025-02-04 20:00:33
ORD00926,Monitor,812.87,3,2438.61,Asia,2025-01-27 20:00:33
ORD00955,Laptop,1208.35,5,6041.75,South America,2025-06-01 20:00:33
ORD00022,Keyboard,765.31,3,2295.93,North America,2025-02-13 20:00:33
ORD00058,Monitor,1043.06,3,3129.18,South America,2025-06-03 20:00:33
ORD00085,Tablet,1018.71,3,3056.13,Africa,2024-11-06 20:00:33
ORD00090,Mouse,251.28,1,251.28,Africa,2025-04-04 20:00:33
ORD00093,Laptop,732.57,5,3662.85,Europe,2025-03-17 20:00:33
ORD00130,Smartphone,346.92,5,1734.6,South America,2024-11-25 20:00:33
ORD00199,Mouse,1014.23,2,2028.46,Asia,2025-05-02 20:00:33
ORD00204,Monitor,181.98,4,727.92,South America,2024-11-16 20:00:33
ORD00213,Smartphone,359.61,1,359.61,Asia,2024-11-05 20:00:33
ORD00270,Keyboard,1232.92,3,3698.76,Asia,2024-08-26 20:00:33
ORD00279,Mouse,1344.69,4,5378.76,North America,2025-02-20 20:00:33
ORD00299,Headphones,1112.03,1,1112.03,Africa,2025-01-28 20:00:33
ORD00357,Laptop,114.66,4,458.64,North America,2024-11-23 20:00:33
ORD00497,Mouse,1097.03,1,1097.03,Europe,2024-11-20 20:00:33
ORD00585,Keyboard,1271.14,5,6355.7,South America,2024-09-25 20:00:33
ORD00587,Keyboard,1240.44,1,1240.44,North America,2025-04-22 20:00:33
ORD00638,Keyboard,350.99,3,1052.97,South America,2025-07-01 20:00:33
ORD00671,Laptop,360.05,2,720.1,South America,2024-07-24 20:00:33
ORD00730,Keyboard,1138.23,1,1138.23,Europe,2025-05-23 20:00:33
ORD00762,Tablet,1392.8,2,2785.6,North America,2024-09-19 20:00:33
ORD00860,Keyboard,1338.91,5,6694.55,North America,2024-10-10 20:00:33
ORD00924,Tablet,1078.02,1,1078.02,North America,2025-05-06 20:00:33
ORD00927,Tablet,919.44,5,4597.2,Asia,2025-02-05 20:00:33
ORD00932,Keyboard,1006.58,5,5032.9,Asia,2025-03-14 20:00:33
ORD00953,Tablet,1020.14,2,2040.28,North America,2025-03-06 20:00:33
ORD00075,Monitor,544.57,5,2722.85,Africa,2024-11-30 20:00:33
ORD00102,Smartphone,1052.91,5,5264.55,Asia,2024-08-16 20:00:33
ORD00146,Keyboard,704.75,1,704.75,Asia,2024-07-31 20:00:33
ORD00163,Laptop,268.26,1,268.26,Africa,2025-03-19 20:00:33
ORD00187,Laptop,1322.27,4,5289.08,North America,2025-03-26 20:00:33
ORD00249,Keyboard,1200.88,2,2401.76,Africa,2025-01-09 20:00:33
ORD00255,Keyboard,106.52,2,213.04,Africa,2024-10-11 20:00:33
ORD00287,Headphones,632.24,5,3161.2,Africa,2024-07-06 20:00:33
ORD00310,Monitor,961.08,1,961.08,Africa,2024-10-29 20:00:33
ORD00369,Monitor,905.45,5,4527.25,North America,2025-04-05 20:00:33
ORD00397,Monitor,1278.79,2,2557.58,Africa,2025-06-06 20:00:33
ORD00417,Monitor,637.5,4,2550.0,South America,2025-04-11 20:00:33
ORD00442,Laptop,700.01,4,2800.04,Africa,2024-07-23 20:00:33
ORD00464,Monitor,276.99,2,553.98,North America,2025-02-04 20:00:33
ORD00532,Laptop,212.44,4,849.76,Asia,2025-04-25 20:00:33
ORD00606,Headphones,123.85,5,619.25,North America,2025-06-20 20:00:33
ORD00626,Tablet,287.64,2,575.28,Africa,2024-08-27 20:00:33
ORD00646,Smartphone,1250.28,3,3750.84,Europe,2025-01-13 20:00:33
ORD00657,Monitor,648.36,2,1296.72,North America,2025-01-06 20:00:33
ORD00705,Mouse,885.95,1,885.95,South America,2024-09-14 20:00:33
ORD00715,Headphones,818.38,2,1636.76,Africa,2025-01-29 20:00:33
ORD00733,Keyboard,362.49,1,362.49,South America,2024-12-15 20:00:33
ORD00751,Monitor,1274.26,3,3822.78,Europe,2025-03-15 20:00:33
ORD00828,Mouse,207.96,5,1039.8,North America,2024-12-14 20:00:33
ORD00846,Keyboard,1474.11,1,1474.11,Europe,2024-08-05 20:00:33
ORD00864,Headphones,65.94,2,131.88,Africa,2024-10-01 20:00:33
ORD00903,Laptop,1133.06,1,1133.06,South America,2024-07-05 20:00:33
ORD00909,Headphones,866.4,4,3465.6,Asia,2024-12-04 20:00:33
ORD00046,Mouse,1063.21,2,2126.42,South America,2025-05-19 20:00:33
ORD00086,Headphones,408.72,4,1634.88,South America,2024-08-29 20:00:33
ORD00095,Mouse,1355.51,3,4066.53,Europe,2025-05-29 20:00:33
ORD00121,Headphones,1295.16,5,6475.8,North America,2025-06-10 20:00:33
ORD00186,Mouse,189.7,5,948.5,South America,2025-04-27 20:00:33
ORD00254,Smartphone,116.89,2,233.78,Asia,2025-03-24 20:00:33
ORD00265,Keyboard,151.62,1,151.62,Europe,2025-05-17 20:00:33
ORD00305,Tablet,495.51,1,495.51,Asia,2024-12-06 20:00:33
ORD00314,Tablet,131.32,5,656.6,Asia,2024-09-14 20:00:33
